epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,3516.92,1.5863,1.14323,0.00953,0.88072,0.85129,0.92049,0.66561,1.30124,0.72499,0.00883,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,3595.09,1.57621,1.12974,0.00932,0.92173,0.85084,0.92859,0.65324,1.34419,0.69412,0.00926,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,3674.09,1.58187,1.13662,0.00933,0.90334,0.81682,0.93021,0.68049,1.34542,0.65829,0.00926,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,3752.12,1.58588,1.09562,0.0094,0.8769,0.87365,0.9281,0.66865,1.34934,0.67389,0.00907,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,3828.45,1.59282,1.12031,0.00927,0.89513,0.8627,0.92084,0.62964,1.33509,0.71942,0.0092,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,3901.94,1.58426,1.12039,0.00923,0.91152,0.84379,0.92868,0.62712,1.34851,0.68414,0.00918,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,3975.54,1.56777,1.08937,0.00923,0.89985,0.86083,0.93598,0.63861,1.3203,0.67141,0.00903,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,4048.36,1.57917,1.12081,0.0093,0.87265,0.86896,0.92921,0.65475,1.31666,0.70451,0.00881,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,4123.07,1.57377,1.10508,0.00935,0.91139,0.82991,0.93355,0.66056,1.29809,0.6741,0.00875,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,4201.3,1.56364,1.10223,0.00934,0.88678,0.83431,0.93066,0.64752,1.32023,0.67963,0.00903,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,4274.18,1.55086,1.08562,0.00912,0.90288,0.85214,0.93292,0.67543,1.31803,0.65713,0.00893,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,4348.7,1.57852,1.11962,0.00923,0.90734,0.85878,0.93678,0.68932,1.30495,0.65977,0.0085,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,4421.36,1.556,1.07862,0.00938,0.91629,0.88078,0.94345,0.6968,1.28788,0.60756,0.00852,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,4495.18,1.54974,1.10693,0.00905,0.90769,0.87664,0.937,0.66627,1.27922,0.66428,0.00854,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,4568.33,1.55301,1.08757,0.00922,0.93031,0.84717,0.93542,0.65444,1.27796,0.66344,0.0084,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,4643.54,1.54465,1.09594,0.009,0.89587,0.8521,0.93851,0.65241,1.28909,0.65164,0.00857,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,4720.51,1.55683,1.0847,0.00908,0.92852,0.83975,0.93915,0.65606,1.2788,0.63477,0.00843,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,4798.11,1.57007,1.08563,0.00933,0.94602,0.83356,0.93882,0.66385,1.27114,0.63116,0.00825,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
